pmcid,journal,year,doi,license,kept_abstract,kept_intro,kept_disc,w_abstract,w_intro,w_disc,in_seeds,abstract_structured,title
PMC9118791,Journal of Translational Medicine,2022,10.1186/s12967-022-03431-6,by,1,1,1,260,377,886,1,1,"Bulk and single-cell transcriptome profiling reveal necroptosis-based molecular classification, tumor microenvironment i"
PMC7981912,Journal of Translational Medicine,2021,10.1186/s12967-021-02779-5,by,1,1,1,136,506,332,0,1,"MBTPS2, a membrane bound protease, underlying several distinct skin and bone disorders"
PMC7673099,Journal of Translational Medicine,2020,10.1186/s12967-020-02605-4,by,1,1,1,283,641,772,1,1,Comparative analysis of adeno-associated virus serotypes for gene transfer in organotypic heart slices
PMC8164791,Journal of Translational Medicine,2021,10.1186/s12967-021-02904-4,by,1,1,1,236,487,636,1,0,Association of ADH1B polymorphism and alcohol consumption with increased risk of intracerebral hemorrhagic stroke
PMC8895817,Journal of Translational Medicine,2022,10.1186/s12967-022-03314-w,by,1,1,1,252,474,1085,1,0,"LPL, FNDC5 and PPARγ gene polymorphisms related to body composition parameters and lipid metabolic profile in adolescent"
PMC8074508,Journal of Translational Medicine,2021,10.1186/s12967-021-02852-z,by,0,0,0,0,0,0,0,0,Retraction Note to: Intra-articular injection in the knee of adipose derived stromal cells (stromal vascular fraction) a
PMC8900092,Journal of Translational Medicine,2022,10.1186/s12967-022-03310-0,by,0,0,0,0,0,0,0,0,Poor oral health may prolong COVID-19 illness
PMC8052819,Journal of Translational Medicine,2021,10.1186/s12967-021-02822-5,by,1,1,0,173,466,0,0,1,Chemokines and their receptors: predictors of the therapeutic potential of mesenchymal stromal cells
PMC8881869,Journal of Translational Medicine,2022,10.1186/s12967-022-03303-z,by,1,1,1,233,258,755,1,1,FK506 and Lactobacillus acidophilus ameliorate acute graft-versus-host disease by modulating the T helper 17/regulatory 
PMC7887792,Journal of Translational Medicine,2021,10.1186/s12967-021-02747-z,by,1,1,1,148,363,142,0,0,Translational research in Uganda: linking basic science to bedside medicine in a resource limited setting
PMC8348860,Journal of Translational Medicine,2021,10.1186/s12967-021-03003-0,by,1,1,1,304,485,906,1,1,BCL7A as a novel prognostic biomarker for glioma patients
