provider,model,section,pmcid,chars,sec
openrouter,z-ai/glm-5.2:free,abstract,PMC7673099,1772,2026-09-06 10:41:46
openrouter,minimax/minimax-m3:free,abstract,PMC9118791,2842,2026-09-06 10:42:44
openrouter,minimax/minimax-m3:free,abstract,PMC7673099,2364,2026-09-06 10:52:02
openrouter,minimax/minimax-m3:free,abstract,PMC8164791,2618,2026-09-06 10:52:08
openrouter,minimax/minimax-m3:free,abstract,PMC8895817,2065,2026-09-06 10:52:21
openrouter,minimax/minimax-m3:free,abstract,PMC8881869,2875,2026-09-06 10:52:28
openrouter,minimax/minimax-m3:free,abstract,PMC8348860,2103,2026-09-06 10:52:36
openrouter,minimax/minimax-m3:free,abstract,PMC8650321,2819,2026-09-06 10:52:43
openrouter,minimax/minimax-m3:free,abstract,PMC7528376,2595,2026-09-06 10:52:52
openrouter,minimax/minimax-m3:free,abstract,PMC9134706,1469,2026-09-06 10:52:57
openrouter,minimax/minimax-m3:free,abstract,PMC7852290,1831,2026-09-06 10:53:03
openrouter,minimax/minimax-m3:free,abstract,PMC7664034,2477,2026-09-06 10:53:12
openrouter,minimax/minimax-m3:free,abstract,PMC8274020,2354,2026-09-06 10:53:19
openrouter,minimax/minimax-m3:free,abstract,PMC9171988,2617,2026-09-06 10:53:31
openrouter,minimax/minimax-m3:free,abstract,PMC8686655,1838,2026-09-06 10:53:36
openrouter,minimax/minimax-m3:free,abstract,PMC8650266,1960,2026-09-06 10:53:43
openrouter,minimax/minimax-m3:free,abstract,PMC8401202,2355,2026-09-06 10:53:50
openrouter,minimax/minimax-m3:free,abstract,PMC8842912,1677,2026-09-06 10:53:56
openrouter,minimax/minimax-m3:free,abstract,PMC9107211,2272,2026-09-06 10:54:06
openrouter,minimax/minimax-m3:free,abstract,PMC8600732,2365,2026-09-06 10:54:18
openrouter,minimax/minimax-m3:free,abstract,PMC9092689,2349,2026-09-06 10:54:27
openrouter,minimax/minimax-m3:free,abstract,PMC8626906,2425,2026-09-06 10:54:34
openrouter,minimax/minimax-m3:free,abstract,PMC8365912,2003,2026-09-06 10:54:40
openrouter,minimax/minimax-m3:free,abstract,PMC8961484,2045,2026-09-06 10:54:47
openrouter,minimax/minimax-m3:free,abstract,PMC8361655,2243,2026-09-06 10:54:54
openrouter,minimax/minimax-m3:free,abstract,PMC8818176,1775,2026-09-06 10:55:00
openrouter,minimax/minimax-m3:free,abstract,PMC8513237,1974,2026-09-06 10:55:05
openrouter,minimax/minimax-m3:free,abstract,PMC8454155,1486,2026-09-06 10:55:12
openrouter,minimax/minimax-m3:free,abstract,PMC8351447,2572,2026-09-06 10:55:21
openrouter,minimax/minimax-m3:free,abstract,PMC8254928,2343,2026-09-06 10:55:27
openrouter,minimax/minimax-m3:free,abstract,PMC7913412,2882,2026-09-06 10:55:37
openrouter,minimax/minimax-m3:free,abstract,PMC7579884,1458,2026-09-06 10:55:43
openrouter,minimax/minimax-m3:free,abstract,PMC9125345,2463,2026-09-06 10:55:50
openrouter,minimax/minimax-m3:free,abstract,PMC7507616,2405,2026-09-06 10:56:00
openrouter,minimax/minimax-m3:free,abstract,PMC7941911,2410,2026-09-06 10:56:07
openrouter,minimax/minimax-m3:free,abstract,PMC8734283,2052,2026-09-06 10:56:12
openrouter,minimax/minimax-m3:free,abstract,PMC8254245,2491,2026-09-06 10:56:20
openrouter,minimax/minimax-m3:free,abstract,PMC8380343,1770,2026-09-06 10:56:25
openrouter,minimax/minimax-m3:free,abstract,PMC7509824,1527,2026-09-06 10:56:31
openrouter,minimax/minimax-m3:free,abstract,PMC8793227,2549,2026-09-06 10:56:38
openrouter,minimax/minimax-m3:free,abstract,PMC8351323,2730,2026-09-06 10:56:48
openrouter,minimax/minimax-m3:free,abstract,PMC8785515,1421,2026-09-06 10:56:53
openrouter,minimax/minimax-m3:free,abstract,PMC8819945,1596,2026-09-06 10:56:58
openrouter,minimax/minimax-m3:free,abstract,PMC9137087,1817,2026-09-06 10:57:03
openrouter,minimax/minimax-m3:free,abstract,PMC9245290,1274,2026-09-06 10:57:09
