human: 745 docs, 178,776 words

ai:    97 docs, 27,810 words

feature           role    human      ai      R            CI95  judge
---------------------------------------------------------------------
underscore        rule    0.017   0.180  10.71      (few hits)  -
ing_clause        rule    1.291   7.123   5.52  [ 4.11, 7.50]  INCLUDE (CI-low>=2)
em_dash           rule    0.145   0.791   5.44  [ 2.01,13.88]  INCLUDE (CI-low>=2)
further_studies   rule    0.062   0.288   4.68  [ 1.66,11.91]  cond (CI-low>=1.5)
X_importance_of   rule    0.062   0.180   2.92  [ 0.49, 8.17]  -
landscape         ctl     0.123   0.324   2.63  [ 0.97, 6.33]  -
highlight_v       ctl     0.291   0.647   2.23  [ 1.25, 3.82]  -
robust            ctl     0.140   0.252   1.80  [ 0.48, 4.46]  -
leverage          rule    0.045   0.072   1.61      (few hits)  -
passive_rough     ctl    26.010  41.553   1.60  [ 1.43, 1.77]  -
semicolon         ctl     1.577   2.481   1.57  [ 1.00, 2.25]  -
notably           rule    0.050   0.072   1.43      (few hits)  -
comprehensive     ctl     0.229   0.324   1.41  [ 0.40, 2.97]  -
promising_avenue  rule    0.028   0.036   1.29      (few hits)  -
p_open_this       ctl     2.329   2.846   1.22  [ 0.43, 2.37]  no signal
collect_end       rule    1.243   1.005   0.81  [ 0.37, 1.41]  no signal
findings_suggest  rule    0.045   0.036   0.80      (few hits)  no signal
thereby           rule    0.190   0.144   0.76      (few hits)  -
in_this_study     rule    0.576   0.431   0.75  [ 0.36, 1.25]  -
pivotal           rule    0.050   0.036   0.71      (few hits)  -
hedge             ctl     5.823   3.776   0.65  [ 0.52, 0.79]  -
not_only_but      rule    0.095   0.036   0.38      (few hits)  reverse -> anti-rule
regarding         rule    0.112   0.036   0.32      (few hits)  reverse -> anti-rule
play_X_role       rule    0.123   0.036   0.29      (few hits)  reverse -> anti-rule
we                ctl     4.027   1.151   0.29  [ 0.19, 0.40]  reverse -> anti-rule
crucial           rule    0.241   0.036   0.15      (few hits)  reverse -> anti-rule
intricate         rule    0.028   0.000   0.00      (few hits)  reverse -> anti-rule
showcase          rule    0.011   0.000   0.00      (few hits)  reverse -> anti-rule
holistic          rule    0.011   0.000   0.00      (few hits)  reverse -> anti-rule
foster            rule    0.028   0.000   0.00      (few hits)  reverse -> anti-rule
meticulous        rule    0.006   0.000   0.00      (few hits)  reverse -> anti-rule
wherein           ctl     0.022   0.000   0.00      (few hits)  reverse -> anti-rule
overallcomma      rule    0.168   0.000   0.00      (few hits)  reverse -> anti-rule
pave_the_way      rule    0.017   0.000   0.00      (few hits)  reverse -> anti-rule
shed_light        rule    0.011   0.000   0.00      (few hits)  reverse -> anti-rule
in_recent_years   rule    0.034   0.000   0.00      (few hits)  reverse -> anti-rule
our_knowledge     rule    0.011   0.000   0.00      (few hits)  reverse -> anti-rule
not_X_but_Y       rule    0.006   0.000   0.00      (few hits)  reverse -> anti-rule
si_signpost       rule    0.024   0.000   0.00      (few hits)  reverse -> anti-rule
si_however        ctl     0.012   0.000   0.00      (few hits)  reverse -> anti-rule
si_thus           ctl     0.024   0.000   0.00      (few hits)  reverse -> anti-rule
p_open_signpost   rule    0.228   0.000   0.00      (few hits)  reverse -> anti-rule

-- per-journal spread (human side) for top candidates --
ing_clause         groups=17  spread=   5.7x UNSTABLE
em_dash            groups=17  spread=  12.7x UNSTABLE
further_studies    groups=17  spread=   2.8x OK
