human: 681 docs, 689,361 words

ai:    70 docs, 45,997 words

feature           role    human      ai      R            CI95  judge
---------------------------------------------------------------------
not_X_but_Y       rule    0.003   0.065  22.48      (few hits)  -
landscape         ctl     0.048   0.457   9.54  [ 2.74,24.02]  (ctl) INCLUDE (CI-low>=2)
underscore        rule    0.026   0.109   4.16  [ 0.98,10.48]  -
collect_end       rule    1.305   3.641   2.79  [ 2.35, 3.27]  INCLUDE (CI-low>=2)
our_knowledge     rule    0.019   0.043   2.31      (few hits)  -
ing_clause        rule    2.241   4.585   2.05  [ 1.60, 2.52]  cond (CI-low>=1.5)
in_this_study     rule    0.727   1.457   2.00  [ 1.68, 2.38]  cond (CI-low>=1.5)
foster            rule    0.012   0.022   1.87      (few hits)  -
robust            ctl     0.216   0.370   1.71  [ 0.86, 2.82]  -
thereby           rule    0.186   0.304   1.64  [ 0.86, 2.69]  -
leverage          rule    0.029   0.043   1.50      (few hits)  -
findings_suggest  rule    0.030   0.043   1.43      (few hits)  -
passive_rough     ctl    22.008  21.241   0.97  [ 0.86, 1.08]  no signal
worth_noting      rule    0.035   0.022   0.62      (few hits)  -
hedge             ctl     9.690   5.544   0.57  [ 0.50, 0.65]  -
we                ctl     4.440   2.413   0.54  [ 0.47, 0.63]  -
not_only_but      rule    0.158   0.065   0.41      (few hits)  reverse -> anti-rule
highlight_v       ctl     0.271   0.109   0.40  [ 0.09, 0.81]  reverse -> anti-rule
comprehensive     ctl     0.145   0.043   0.30      (few hits)  reverse -> anti-rule
semicolon         ctl     2.169   0.565   0.26  [ 0.16, 0.39]  reverse -> anti-rule
further_studies   rule    0.190   0.043   0.23      (few hits)  reverse -> anti-rule
overallcomma      rule    0.110   0.022   0.20      (few hits)  reverse -> anti-rule
p_open_this       ctl     2.397   0.283   0.12      (few hits)  reverse -> anti-rule
regarding         rule    0.194   0.022   0.11      (few hits)  reverse -> anti-rule
delve             rule    0.003   0.000   0.00      (few hits)  reverse -> anti-rule
intricate         rule    0.006   0.000   0.00      (few hits)  reverse -> anti-rule
pivotal           rule    0.064   0.000   0.00      (few hits)  reverse -> anti-rule
showcase          rule    0.006   0.000   0.00      (few hits)  reverse -> anti-rule
realm             rule    0.003   0.000   0.00      (few hits)  reverse -> anti-rule
holistic          rule    0.006   0.000   0.00      (few hits)  reverse -> anti-rule
meticulous        rule    0.003   0.000   0.00      (few hits)  reverse -> anti-rule
notably           rule    0.036   0.000   0.00      (few hits)  reverse -> anti-rule
crucial           rule    0.215   0.000   0.00      (few hits)  reverse -> anti-rule
wherein           ctl     0.013   0.000   0.00      (few hits)  reverse -> anti-rule
play_X_role       rule    0.087   0.000   0.00      (few hits)  reverse -> anti-rule
pave_the_way      rule    0.001   0.000   0.00      (few hits)  reverse -> anti-rule
shed_light        rule    0.019   0.000   0.00      (few hits)  reverse -> anti-rule
bridge_the_gap    rule    0.003   0.000   0.00      (few hits)  reverse -> anti-rule
in_recent_years   rule    0.017   0.000   0.00      (few hits)  reverse -> anti-rule
X_importance_of   rule    0.044   0.000   0.00      (few hits)  reverse -> anti-rule
vast_potential    rule    0.003   0.000   0.00      (few hits)  reverse -> anti-rule
promising_avenue  rule    0.020   0.000   0.00      (few hits)  reverse -> anti-rule
si_signpost       rule    0.398   0.000   0.00      (few hits)  reverse -> anti-rule
si_however        ctl     0.092   0.000   0.00      (few hits)  reverse -> anti-rule
si_thus           ctl     0.041   0.000   0.00      (few hits)  reverse -> anti-rule
em_dash           rule    0.387   0.000   0.00      (few hits)  reverse -> anti-rule
p_open_signpost   rule    2.259   0.000   0.00      (few hits)  reverse -> anti-rule
p_open_comment    rule    1.129   0.000   0.00      (few hits)  reverse -> anti-rule

-- per-journal spread (human side) for top candidates --
landscape          groups=17  spread=  14.0x UNSTABLE
collect_end        groups=17  spread=   3.7x OK
ing_clause         groups=17  spread=   3.6x OK
in_this_study      groups=17  spread=  20.0x UNSTABLE
