human: 716 docs, 475,493 words

ai:    70 docs, 27,035 words

feature           role    human      ai      R            CI95  judge
---------------------------------------------------------------------
not_X_but_Y       rule    0.000   0.037    ∞      (few hits)  -
adverb_triad      rule    0.000   0.106    ∞      (few hits)  -
landscape         ctl     0.063   0.555   8.79  [ 3.52,18.66]  (ctl) INCLUDE (CI-low>=2)
notably           rule    0.021   0.111   5.28      (few hits)  -
underscore        rule    0.008   0.037   4.40      (few hits)  -
in_this_study     rule    0.446   1.517   3.40  [ 2.62, 4.28]  INCLUDE (CI-low>=2)
ing_clause        rule    1.278   4.242   3.32  [ 2.21, 4.70]  INCLUDE (CI-low>=2)
robust            ctl     0.126   0.333   2.64  [ 0.99, 5.17]  -
comprehensive     ctl     0.147   0.333   2.26  [ 0.93, 4.16]  -
not_only_but      rule    0.120   0.222   1.85  [ 0.55, 3.69]  -
we                ctl     2.463   4.180   1.70  [ 1.46, 2.00]  -
thereby           rule    0.286   0.407   1.42  [ 0.60, 2.62]  -
further_studies   rule    0.029   0.037   1.26      (few hits)  -
passive_rough     ctl    24.013  23.012   0.96  [ 0.82, 1.12]  no signal
leverage          rule    0.044   0.037   0.84      (few hits)  no signal
X_importance_of   rule    0.044   0.037   0.84      (few hits)  no signal
highlight_v       ctl     0.191   0.111   0.58      (few hits)  -
pivotal           rule    0.072   0.037   0.52      (few hits)  -
hedge             ctl     5.380   2.737   0.51  [ 0.37, 0.65]  -
regarding         rule    0.116   0.037   0.32      (few hits)  reverse -> anti-rule
semicolon         ctl     3.436   0.222   0.06  [ 0.02, 0.13]  reverse -> anti-rule
delve             rule    0.002   0.000   0.00      (few hits)  reverse -> anti-rule
intricate         rule    0.008   0.000   0.00      (few hits)  reverse -> anti-rule
showcase          rule    0.002   0.000   0.00      (few hits)  reverse -> anti-rule
realm             rule    0.006   0.000   0.00      (few hits)  reverse -> anti-rule
holistic          rule    0.006   0.000   0.00      (few hits)  reverse -> anti-rule
foster            rule    0.017   0.000   0.00      (few hits)  reverse -> anti-rule
garner            rule    0.004   0.000   0.00      (few hits)  reverse -> anti-rule
meticulous        rule    0.002   0.000   0.00      (few hits)  reverse -> anti-rule
groundbreaking    rule    0.008   0.000   0.00      (few hits)  reverse -> anti-rule
crucial           rule    0.292   0.000   0.00      (few hits)  reverse -> anti-rule
wherein           ctl     0.017   0.000   0.00      (few hits)  reverse -> anti-rule
overallcomma      rule    0.036   0.000   0.00      (few hits)  reverse -> anti-rule
play_X_role       rule    0.158   0.000   0.00      (few hits)  reverse -> anti-rule
pave_the_way      rule    0.002   0.000   0.00      (few hits)  reverse -> anti-rule
shed_light        rule    0.032   0.000   0.00      (few hits)  reverse -> anti-rule
bridge_the_gap    rule    0.004   0.000   0.00      (few hits)  reverse -> anti-rule
in_recent_years   rule    0.055   0.000   0.00      (few hits)  reverse -> anti-rule
our_knowledge     rule    0.025   0.000   0.00      (few hits)  reverse -> anti-rule
findings_suggest  rule    0.011   0.000   0.00      (few hits)  reverse -> anti-rule
worth_noting      rule    0.023   0.000   0.00      (few hits)  reverse -> anti-rule
vast_potential    rule    0.004   0.000   0.00      (few hits)  reverse -> anti-rule
promising_avenue  rule    0.029   0.000   0.00      (few hits)  reverse -> anti-rule
si_signpost       rule    0.240   0.000   0.00      (few hits)  reverse -> anti-rule
si_however        ctl     0.112   0.000   0.00      (few hits)  reverse -> anti-rule
si_thus           ctl     0.123   0.000   0.00      (few hits)  reverse -> anti-rule
collect_end       rule    0.623   0.000   0.00      (few hits)  reverse -> anti-rule
em_dash           rule    0.223   0.000   0.00      (few hits)  reverse -> anti-rule
p_open_this       ctl     1.275   0.000   0.00      (few hits)  reverse -> anti-rule
p_open_signpost   rule    1.245   0.000   0.00      (few hits)  reverse -> anti-rule
p_open_comment    rule    0.213   0.000   0.00      (few hits)  reverse -> anti-rule

-- per-journal spread (human side) for top candidates --
landscape          groups=17  spread=  18.7x UNSTABLE
in_this_study      groups=17  spread=   5.8x UNSTABLE
ing_clause         groups=17  spread=   4.2x OK
